title:Meital2, start timestamp:1638094773.891291, stop timestamp:1638094845.366033, headset type:EPOCX, headset serial:E20205C4, headset firmware:710, channels:67, sampling rate:eeg_128;mot_32, samples:9155      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1638094773.891291,0.000000,0.000000,4794.230957,4242.051270,4436.410156,4353.461426,4273.974121,4183.846191,4168.333496,4462.692383,4145.000000,4201.025879,4807.436035,4585.769043,4459.871582,4622.179688,2653.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,0.000000,0.000000,0.262801,0.630127,-0.289856,0.670715,0.984007,-0.063973,0.031254,-44.787621,-2.322421,-24.702219
1638094773.898999,1.000000,0.000000,4804.743652,4253.589844,4449.871582,4332.307617,4279.487305,4193.846191,4171.922852,4462.051270,4156.794922,4213.974121,4820.256348,4599.487305,4458.333496,4632.051270,1885.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.906807,2.000000,0.000000,4796.153809,4242.820313,4450.384766,4319.871582,4283.077148,4195.384766,4172.307617,4462.051270,4176.282227,4207.563965,4817.436035,4587.436035,4457.692383,4621.666504,2606.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.914516,3.000000,0.000000,4775.897461,4223.205078,4433.205078,4331.025879,4287.179688,4197.820313,4181.025879,4462.692383,4165.897461,4206.538574,4799.358887,4560.897461,4459.230957,4602.307617,2625.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.922324,4.000000,0.000000,4783.589844,4234.102539,4431.410156,4338.333496,4281.282227,4213.846191,4191.410156,4461.282227,4156.538574,4215.384766,4804.102539,4562.179688,4457.563965,4603.077148,2075.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,1.000000,0.000000,0.262645,0.630127,-0.289856,0.670776,0.984984,-0.066414,0.036137,-44.875526,-2.340179,-24.615330
1638094773.930032,5.000000,0.000000,4796.538574,4243.205078,4424.102539,4338.461426,4276.922852,4212.179688,4176.666504,4462.179688,4178.589844,4211.538574,4822.051270,4569.743652,4447.179688,4601.794922,1885.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.937940,6.000000,0.000000,4790.512695,4230.769043,4398.205078,4336.666504,4287.436035,4189.871582,4149.871582,4463.846191,4194.871582,4200.641113,4809.487305,4564.230957,4436.153809,4590.128418,2411.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.945748,7.000000,0.000000,4790.128418,4233.077148,4397.179688,4332.436035,4294.230957,4185.897461,4150.897461,4461.922852,4194.358887,4200.897461,4797.051270,4569.871582,4442.051270,4597.948730,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.953656,8.000000,0.000000,4810.128418,4252.563965,4426.794922,4336.153809,4294.743652,4201.410156,4174.230957,4461.410156,4205.000000,4214.871582,4817.563965,4589.102539,4464.743652,4619.230957,2179.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,2.000000,0.000000,0.262501,0.630066,-0.289978,0.670837,0.987425,-0.062019,0.036626,-44.854641,-2.339494,-24.687130
1638094773.961465,9.000000,0.000000,4829.743652,4262.692383,4449.487305,4344.743652,4294.487305,4199.871582,4189.487305,4462.820313,4210.897461,4231.538574,4833.205078,4603.333496,4476.794922,4629.743652,3074.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
